Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEH128              , 000342 
03, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEH139              , 000342 
05, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEH066              , 000343 
07, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEL721              , 000343 
09, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEG803              , 000344 
11, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEJ976              , 000339 
13, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEJ977              , 000339 
15, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEJ978              , 000342 
17, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEJ979              , 000342 
19, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEJ980              , 000342 
21, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEJ981              , 000343 
23, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEJ982              , 000341 
25, 23/12/05__05:27:12, 6114  , MOLT23C00127-001    , CEC283              , 000342 
Qty Sum ,_,_,_,_ ,000000 
Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CED232              , 000342 
03, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEC287              , 000342 
05, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEG658              , 000342 
07, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CED158              , 000342 
09, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEG831              , 000342 
11, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEH115              , 000342 
13, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CED391              , 000343 
15, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEH143              , 000342 
17, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEH126              , 000342 
19, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEL725              , 000342 
21, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CDV620              , 000342 
23, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEJ983              , 000341 
25, 23/12/05__05:37:57, 6114  , MOLT23C00127-001    , CEJ985              , 000344 
Qty Sum ,_,_,_,_ ,000000 
Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ986              , 000339 
03, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ987              , 000343 
05, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ988              , 000342 
07, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ989              , 000342 
09, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ990              , 000341 
11, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ991              , 000344 
13, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ992              , 000341 
15, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ993              , 000343 
17, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ994              , 000340 
19, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ995              , 000344 
21, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ996              , 000342 
23, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEJ997              , 000340 
25, 23/12/05__05:48:31, 6114  , MOLT23C00127-001    , CEH966              , 000026 
Qty Sum ,_,_,_,_ ,000000 
