Item,Data create,Op id,Mo #,Frame barcode,Qty
1, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1001-PGS192.00-343  ,1589
3, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1002-PGS192.00-343  ,1588
5, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1003-PGS192.00-343  ,1584
7, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1004-PGS192.00-343  ,1589
9, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1005-PGS192.00-343  ,1588
11, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1006-PGS192.00-343  ,1586
13, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1007-PGS192.00-343  ,1588
15, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1008-PGS192.00-343  ,1576
17, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1009-PGS192.00-343  ,1586
19, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 1010-PGS192.00-343  ,412
21, 23/11/12__16:12:48,4598, MOLT23A03655-001    , 2001-PGS192.00-343  ,1099
23, 23/11/12__16:12:48,4598, MOLT23A03655-001    , ,  
25, 23/11/12__16:12:48,4598, MOLT23A03655-001    , ,  
Qty Sum ,_,_,_,_ ,0
