Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1001-PGG115.00-343  , 001582 
03, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1002-PGG115.00-343  , 001586 
05, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1003-PGG115.00-343  , 001589 
07, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1004-PGG115.00-343  , 001586 
09, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1005-PGG115.00-343  , 001586 
11, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1006-PGG115.00-343  , 001584 
13, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1007-PGG115.00-343  , 001586 
15, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1008-PGG115.00-343  , 001582 
17, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1009-PGG115.00-343  , 001588 
19, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1010-PGG115.00-343  , 001588 
21, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1011-PGG115.00-343  , 001575 
23, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 1012-PGG115.00-343  , 000762 
25, 23/11/13__11:12:03, 4598  , MOLT23A03616-001    , 2001-PGG115.00-343  , 001483 
Qty Sum ,_,_,_,_ ,000000 
