Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH319              , 000343 
03, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH318              , 000343 
05, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH337              , 000342 
07, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH302              , 000344 
09, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH342              , 000344 
11, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH341              , 000342 
13, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH340              , 000342 
15, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH299              , 000342 
17, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH331              , 000342 
19, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH300              , 000345 
21, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CED142              , 000342 
23, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEH346              , 000345 
25, 23/11/14__05:30:43, 4690  , MOLT23B00267-001    , CEI842              , 000345 
Qty Sum ,_,_,_,_ ,000000 
Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI841              , 000340 
03, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI808              , 000345 
05, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI807              , 000342 
07, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI806              , 000344 
09, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI805              , 000343 
11, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI854              , 000345 
13, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI177              , 000343 
15, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI176              , 000344 
17, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CED148              , 000344 
19, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEH317              , 000343 
21, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEH316              , 000344 
23, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI175              , 000343 
25, 23/11/14__05:45:56, 4690  , MOLT23B00267-001    , CEI174              , 000344 
Qty Sum ,_,_,_,_ ,000000 
Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI171              , 000343 
03, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI170              , 000341 
05, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI169              , 000344 
07, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI166              , 000339 
09, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI167              , 000343 
11, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI847              , 000344 
13, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI846              , 000343 
15, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI845              , 000345 
17, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI844              , 000344 
19, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI843              , 000343 
21, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEH686              , 000344 
23, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI823              , 000342 
25, 23/11/14__05:57:38, 4690  , MOLT23B00267-001    , CEI853              , 000184 
Qty Sum ,_,_,_,_ ,000000 
