Item,Data create,Op id,Mo #,Frame barcode,Qty
01, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG238              , 000356 
03, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG239              , 000354 
05, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG515              , 000354 
07, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG220              , 000355 
09, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG219              , 000356 
11, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG223              , 000356 
13, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG221              , 000354 
15, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG222              , 000355 
17, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG508              , 000356 
19, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDW965              , 000357 
21, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG504              , 000356 
23, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDG493              , 000357 
25, 23/09/21__13:36:38, 4598  , MOLT23901753-012    , CDH536              , 000103 
Qty Sum ,_,_,_,_ ,000000 
